,author,content,clean tweets,probs
1597,britneyspears,Don't know what it is about London but I love love love it. Hopefully I can squeeze in a trip back there soon :) #IAmBritneyJean,dont know london love love love hopefully squeeze trip back soon iambritneyjean,"[[0.00319562 0.00420806 0.01293403 0.18076089 0.01521199 0.01160551
  0.7720839 ]]"
1598,rihanna,Hype as shit http://t.co/Hea7Oj23,hype shit httptcohea7oj23,"[[6.5189216e-04 8.8554103e-04 2.9972114e-03 4.3189559e-02 3.3846823e-03
  2.2758662e-03 9.4661522e-01]]"
1599,Cristiano,@rioferdy5 Really? so we need to organize that. I can show you some great restaurants,rioferdy5 really need organize show great restaurants,"[[0.00532665 0.00637581 0.00684294 0.02183134 0.01003131 0.00267212
  0.9469199 ]]"
1600,jtimberlake,"“@S_C_: JT x 1 million? Getting my ""Suit and Tie"" ready for the celebration. Is that the D'USSE talking? Haha! You're out of your mind, Hov!",“sc jt x 1 million getting suit tie ready celebration dusse talking haha youre mind hov,"[[0.00342344 0.00443179 0.01086796 0.11346109 0.01352947 0.00822106
  0.8460652 ]]"
1601,ladygaga,Sunset at home with @MissAsiaKinney and Koji @billboard https://t.co/984cvCQb08,sunset home missasiakinney koji billboard httpstco984cvcqb08,"[[6.9077098e-05 1.0953265e-04 1.3920250e-03 9.5220931e-02 1.1461821e-03
  1.9188019e-03 9.0014344e-01]]"
1602,jimmyfallon,We are back with brand new shows starting tonight! Can't wait! #FALLONTONIGHT,back brand new shows staing tonight cant wait fallontonight,"[[0.07070368 0.08104511 0.10700824 0.4572688  0.15412031 0.08140092
  0.04845301]]"
1603,ddlovato,SO excited for the Lovato Scholarship Benefit on 3/18 in LA!!!! ☺️☺️ http://t.co/N0YkzAEwfh,excited lovato scholarship benefit 318 la ☺️☺️ httptcon0ykzaewfh,"[[3.6769733e-01 3.5482666e-01 1.0122573e-01 7.1294545e-03 1.6361719e-01
  5.3006993e-03 2.0289584e-04]]"
1604,KimKardashian,Morning hike last week in St. Barth's with my mamma http://t.co/LwYFRgIT9X,morning hike last week st bahs mamma httptcolwyfrgit9x,"[[0.13799666 0.15399757 0.14117211 0.26709154 0.22065794 0.06216957
  0.0169146 ]]"
1605,ArianaGrande,@GrandeButeraRay @adraycun snatched,grandebuteraray adraycun snatched,"[[3.5820925e-01 3.5031560e-01 1.2303842e-01 1.7708982e-03 1.6574995e-01
  9.1140129e-04 4.4808594e-06]]"
1606,rihanna,We all have a purpose!! #dn http://t.co/u6K791Ds,purpose dn httptcou6k791ds,"[[0.052063   0.05875105 0.04711685 0.10530495 0.07416689 0.0201192
  0.6424781 ]]"
1607,katyperry,Introducing the cartoon version of me in my new game #KatyPerryPop! We’ve been working on this game… https://t.co/Q9yug3l1or,introducing caoon version new game katyperrypop we’ve working game… httpstcoq9yug3l1or,"[[0.00112498 0.00145149 0.00297896 0.02231892 0.00377129 0.00163764
  0.9667167 ]]"
1608,ladygaga,Light me up and breathe in! The #DiveBarTour starts now LIVE from New York City! @BudLight 🍻… https://t.co/WgkEBMgzV6,light breathe divebaour stas live new york city budlight 🍻… httpstcowgkebmgzv6,"[[0.0375353  0.04479134 0.08237458 0.5962598  0.11310918 0.07745589
  0.04847385]]"
1609,selenagomez,@seankingston and I judging. Yuppp http://t.co/8LDQjPbi,seankingston judging yuppp httptco8ldqjpbi,"[[0.14046402 0.15538374 0.13670807 0.26462352 0.21248886 0.06605128
  0.02428053]]"
1610,ArianaGrande,"y'all keep me going too you know. you're family too. like an extended....... reaaaaaaaaaally big, vocal, hilarious family. Honorary Grandes.",yall keep going know youre family like extended reaaaaaaaaaally big vocal hilarious family honorary grandes,"[[0.17218141 0.19073011 0.15047735 0.18593058 0.25019795 0.04413022
  0.00635241]]"
1611,ddlovato,Thank you @ThePerezHilton!!! 💗 you!!,thank theperezhilton 💗,"[[0.00449758 0.00617667 0.03254861 0.87418073 0.04160552 0.03103594
  0.00995495]]"
1612,ladygaga,"i love the dress @Brandonmaxwell made for me tonight. Special dress. Special evening. So many inspiring artists, a… https://t.co/DnAJ39J02w",love dress brandonmaxwell made tonight special dress special evening many inspiring aists a… httpstcodnaj39j02w,"[[0.14014807 0.16466698 0.16903521 0.19657123 0.304601   0.02389992
  0.00107766]]"
1613,jimmyfallon,"Happy Monday! We've got a fun show tonight: Renée Zellweger, @SHAQ, and music from @ericchurch! #FallonTonight",happy monday weve got fun show tonight renée zellweger shaq music ericchurch fallontonight,"[[0.04433183 0.0520642  0.07944945 0.47092697 0.11079144 0.06655123
  0.17588492]]"
1614,BarackObama,The Supreme Court must remain above partisanship. Senate leaders: The time to fill the vacant seat is now. https://t.co/7mmbuXjsPO,supreme cou must remain paisanship senate leaders time fill vacant seat httpstco7mmbuxjspo,"[[0.09571026 0.10943064 0.1281242  0.3791061  0.19169939 0.07155972
  0.02436965]]"
1615,jimmyfallon,My sister used to wear a bike helmet just to get on the swing in our backyard. #MySiblingIsWeird,sister used wear bike helmet get swing backyard mysiblingisweird,"[[0.05074531 0.05923555 0.07970175 0.38527942 0.11390282 0.05796153
  0.25317365]]"
1616,jimmyfallon,Sneak peek of the Tonight Show tonight! #StarWars #FallonTonight https://t.co/nQyFsFAgfm,sneak peek tonight show tonight starwars fallontonight httpstconqyfsfagfm,"[[3.07834089e-01 3.19662154e-01 1.16883084e-01 1.75979845e-02
  2.32052475e-01 5.84757049e-03 1.22719575e-04]]"
1617,TheEllenShow,Send me a video for my @So_Delicious Summer Lovin’ contest &amp; you could win $10K. Hurry. Summer lovin' happens so fast http://t.co/wNd5wgIumG,send video sodelicious summer lovin’ contest amp could win 10k hurry summer lovin happens fast httptcownd5wgiumg,"[[3.60197484e-01 3.51436615e-01 1.55157104e-01 1.15393406e-04
  1.33039340e-01 5.40388392e-05 1.71083467e-08]]"
1618,BarackObama,"Judge Garland is just as qualified now as he was in 1997, Senate leaders. It's time to #DoYourJob. https://t.co/j1lEkdMYV6",judge garland qualified 1997 senate leaders time doyourjob httpstcoj1lekdmyv6,"[[0.08623064 0.09528702 0.06653026 0.11918001 0.10747104 0.02707865
  0.49822238]]"
1619,justinbieber,#WhereAreUNowMusicVideo TOMORROW!! http://t.co/uaAIJ62q7Q,whereareunowmusicvideo tomorrow httptcouaaij62q7q,"[[0.0964521  0.10756589 0.11678591 0.3761958  0.17292129 0.08113304
  0.04894597]]"
1620,ladygaga,"Watch me and @itstonybennett sing ""WINTER WONDERLAND"" Live from Rockefeller Center Tree Lighting! https://t.co/PewSJsSEUv",watch itstonybennett sing winter wonderland live rockefeller center tree lighting httpstcopewsjsseuv,"[[0.01653933 0.02051689 0.05297585 0.6986256  0.06744157 0.06868301
  0.07521781]]"
1621,instagram,“Of course I am a real ghost. If I were a normal person I wouldn’t be wearing a sheet.”—Mr. Boo,“of course real ghost normal person wouldn’t wearing sheet”—mr boo,"[[3.6967131e-01 3.5627243e-01 1.0383664e-01 5.4885903e-03 1.6053054e-01
  4.0798285e-03 1.2068043e-04]]"
1622,ArianaGrande,"@chirpygrande it changes .... but sometimes, be alright &amp; everyday",chirpygrande changes sometimes alright amp everyday,"[[0.00966798 0.01129684 0.01002617 0.02494883 0.01533964 0.00360815
  0.92511237]]"
1623,Cristiano,Thanks @ESPNFC for this award. It's an honour.,thanks espnfc award honour,"[[0.0011446  0.00146289 0.00268304 0.01736712 0.00348554 0.00135537
  0.97250146]]"
1624,ladygaga,"Thank you for all the kind words, I won't ever forget this moment. Tony &amp; I love you RT #CheekToCheek ORDER/BUY NOW: http://t.co/zu4nMBCmZq",thank kind words wont ever forget moment tony amp love  cheektocheek orderbuy httptcozu4nmbcmzq,"[[0.17983508 0.20094864 0.15509826 0.15890814 0.26758993 0.03423912
  0.00338076]]"
1625,taylorswift13,"My publicist describing the fashion direction of this shoot to me: ""It's supposed to be festive, but not 'Taylor Swift the Christmas elf""",publicist describing fashion direction shoot supposed festive taylor swift christmas elf,"[[0.12511095 0.14002068 0.13707528 0.300138   0.21159093 0.06629082
  0.01977331]]"
1626,taylorswift13,Dallas. Thank you for a memory I'll replay in my mind on rainy days. http://t.co/aIznwsRUbx,dallas thank memory ill replay mind rainy days httptcoaiznwsrubx,"[[0.31928056 0.32179084 0.1085879  0.0279824  0.20749027 0.01392837
  0.00093971]]"
1627,selenagomez,@bieb3rsky thank you! xoxo,bieb3rsky thank xoxo,"[[0.22195995 0.2448689  0.15046635 0.0785735  0.28674752 0.01669516
  0.00068857]]"
1628,YouTube,"Drop that sick beat, meow. https://t.co/hnLg1rsh0S https://t.co/UdknCNi9ta",drop sick beat meow httpstcohnlg1rsh0s httpstcoudkncni9ta,"[[0.05013739 0.05889077 0.0949506  0.5411245  0.13350439 0.07875748
  0.04263487]]"
1629,shakira,Looking forward to the #BibleSeriesFinale on @History tonight. http://t.co/O6arfQEsvk -Shak,looking forward bibleseriesfinale history tonight httptcoo6arfqesvk shak,"[[3.1143491e-04 4.1962898e-04 1.1463745e-03 1.1881916e-02 1.3488907e-03
  6.6600740e-04 9.8422575e-01]]"
1630,rihanna,Here's a lil information on how you can meet me at @Macys on Monday -----&gt; https://t.co/euuL2GMPxc #RiRi #RiRibyRihanna,heres lil information meet macys monday gt httpstcoeuul2gmpxc riri riribyrihanna,"[[0.01481291 0.01928515 0.06047861 0.75944185 0.08147173 0.04860916
  0.01590047]]"
1631,TheEllenShow,"Look what I saw on my way to work today. Good one, @MLauer. #MattsRevenge http://t.co/8QCUw5wqJM",look saw way work today good one mlauer mattsrevenge httptco8qcuw5wqjm,"[[0.00365778 0.00494605 0.02278575 0.5904826  0.02494728 0.03246196
  0.32071862]]"
1632,ArianaGrande,love you more  https://t.co/6FmBk1L2Qq,love httpstco6fmbk1l2qq,"[[0.00297251 0.00405364 0.01998219 0.5529806  0.02138137 0.02846433
  0.37016547]]"
1633,britneyspears,Ha! Nooo I luv u more ;) @brinbrinn I LOVE YOU MORE,ha nooo luv u brinbrinn love,"[[3.46683830e-01 3.42497855e-01 1.06601894e-01 8.54632072e-03
  1.91456541e-01 4.12762398e-03 8.60507425e-05]]"
1634,ArianaGrande,💜💜💜 I love u more  https://t.co/SYvls0D9zf,💜💜💜 love u httpstcosyvls0d9zf,"[[0.00126488 0.00166384 0.00431307 0.04506014 0.00520599 0.00291714
  0.93957496]]"
1635,BarackObama,"""America's resurgence is real. Don't let anybody tell you otherwise."" —President Obama #MadeInAmerica",americas resurgence real dont let anybody tell otherwise —president obama madeinamerica,"[[0.01160226 0.01479542 0.04670491 0.76763797 0.05903628 0.06013379
  0.0400893 ]]"
1636,Twitter,We've partnered w/ @smrtgrls and @TelevisionAcad to ask your Q's on the #Emmys red carpet — Tweet w/ #SmartGirlsAsk! https://t.co/id4qsTwEcU,weve panered w smgrls televisionacad ask qs emmys red carpet — tweet w smagirlsask httpstcoid4qstwecu,"[[0.00990565 0.01203828 0.01724927 0.08691327 0.02402026 0.00961988
  0.8402534 ]]"
1637,selenagomez,Hope all the amazing moms had a great day! I have the best momma in the world :)) I love you so much! http://t.co/kFVLdADQgG,hope amazing moms great day best momma world love much httptcokfvldadqgg,"[[3.8596600e-01 3.6136320e-01 1.4524156e-01 9.0493995e-05 1.0726107e-01
  7.7651748e-05 5.2280409e-08]]"
1638,selenagomez,The day is finally here! @RyanSeacrest on my way to see you at @1027KIISFM ! Hope you are excited for my #WhoSaysPremiere,day finally ryanseacrest way see 1027kiisfm hope excited whosayspremiere,"[[0.00218066 0.002709   0.00393001 0.0186936  0.00538604 0.0017679
  0.9653328 ]]"
1639,taylorswift13,Best. Birthday. Ever. Thank you for all the birthday wishes. You made me feel really special today :) :) :),best bihday ever thank bihday wishes made feel really special today,"[[0.3129603  0.3200278  0.11237453 0.02569631 0.21720238 0.01118508
  0.00055366]]"
1640,ladygaga,Cover 2/16. Karl Lagerfeld shot by Hedi Slimane @vmagazine https://t.co/Kkubrle9ME https://t.co/z2Sjk2hisH https://t.co/5P1lYlRFpW,cover 216 karl lagerfeld shot hedi slimane vmagazine httpstcokkubrle9me httpstcoz2sjk2hish httpstco5p1lylrfpw,"[[0.00661778 0.00793474 0.0088991  0.03096547 0.01299917 0.00379199
  0.9287918 ]]"
1641,ladygaga,Thank you for the journey of a lifetime Dubai. Photo By Alex Dolan http://t.co/O0XpEmYi8T,thank journey lifetime dubai photo alex dolan httptcoo0xpemyi8t,"[[0.00530366 0.00707418 0.03100001 0.8273662  0.0366082  0.04944511
  0.04320258]]"
1642,TheEllenShow,.@MsLeaMichele really is a Scream Queen. https://t.co/DzhHwzbXry,msleamichele really scream queen httpstcodzhhwzbxry,"[[0.00237357 0.00293375 0.00405898 0.01805397 0.00561924 0.00176898
  0.96519154]]"
1643,Cristiano,Another step in the competition. The team is now on the Champions League semi-finals. http://t.co/bFW6uqr5fs,another step competition team champions league semifinals httptcobfw6uqr5fs,"[[0.15450443 0.17756493 0.16355175 0.18499634 0.28944427 0.02818498
  0.0017533 ]]"
1644,BarackObama,The President is taking steps to fix our broken immigration system—stand up to those who want to block progress: http://t.co/b4cBEam8jN,president taking steps fix broken immigration system—stand want block progress httptcob4cbeam8jn,"[[0.00102499 0.00147102 0.01318293 0.8596282  0.01270455 0.03086574
  0.08112253]]"
1645,ladygaga,@iamnoXii thank u!!! I could never do it without my fans and music lovers I'm so grateful everyday!,iamnoxii thank u could never without fans music lovers im grateful everyday,"[[1.6040962e-04 2.2311273e-04 7.8494195e-04 1.1017392e-02 8.6831150e-04
  5.0526537e-04 9.8644060e-01]]"
1646,katyperry,A valid reason they call it the club sandwich could be if you can fit your mouth round it you must be in some kinda club 😶,valid reason call club sandwich could fit mouth round must kinda club 😶,"[[0.00112043 0.00146566 0.00347463 0.03187479 0.00427635 0.00214801
  0.95564014]]"
1647,TheEllenShow,Happy 28th birthday @ZacEfron! You’re finally as many years old as you have abs.,happy 28th bihday zacefron you’re finally many years old abs,"[[0.03583586 0.04401397 0.09077025 0.6197862  0.12854922 0.06222985
  0.01881465]]"
1648,KimKardashian,@melxjenners hey doll!,melxjenners hey doll,"[[0.24624453 0.25803876 0.13312018 0.09134469 0.23050597 0.03499845
  0.00574735]]"
1649,BarackObama,"""We respect the past, but we don’t pine for the past. We don’t fear the future."" —President Obama #Selma50 #MarchOn",respect past don’t pine past don’t fear future —president obama selma50 marchon,"[[0.00893006 0.01080024 0.01444726 0.06537875 0.02034443 0.00745516
  0.87264407]]"
1650,BarackObama,Watch a #VICEonHBO clip about President Obama's historic visit to a federal prison: http://t.co/rn8up4iCE5,watch viceonhbo clip president obamas historic visit federal prison httptcorn8up4ice5,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
1651,jimmyfallon,Super Bowl champion Peyton Manning vs. NBA legend @MagicJohnson in a game of Egg Russian Roulette https://t.co/VGruOIg283 #FallonTonight,super bowl champion peyton manning vs nba legend magicjohnson game egg russian roulette httpstcovgruoig283 fallontonight,"[[0.00088787 0.00124057 0.00599838 0.14402737 0.00631514 0.00639841
  0.83513224]]"
1652,jimmyfallon,Honored to be part of the show tonight. Hello Boston! http://t.co/NLRvx2DKiK,honored pa show tonight hello boston httptconlrvx2dkik,"[[2.7475509e-01 2.9463333e-01 1.3724704e-01 1.1764305e-02 2.7964354e-01
  1.9490432e-03 7.6559454e-06]]"
1653,ladygaga,Was just listening to international radio online! Heard #PerfectIllusion live from Germany and Austria!! ❤️What a rush thank u!🇩🇪 🇦🇹😍🎸💥,listening international radio online heard perfectillusion live germany austria ❤️what rush thank u🇩🇪 🇦🇹😍🎸💥,"[[0.00721519 0.00911164 0.01927797 0.17120259 0.02490567 0.01457889
  0.75370806]]"
1654,ArianaGrande,look at the flick of my fkking lavender roses #theylookpinkhere #theyrelavenderafinperson #imsohappy https://t.co/AVl5mAErPh,look flick fkking lavender roses theylookpinkhere theyrelavenderafinperson imsohappy httpstcoavl5maerph,"[[0.03768306 0.04156078 0.02355898 0.03081371 0.03951824 0.00676078
  0.82010454]]"
1655,Twitter,"@chrisremo We hear you, Chris. We're keeping feedback like this in mind as we work to roll out these updates soon.",chrisremo hear chris keeping feedback like mind work roll updates soon,"[[3.1766906e-01 3.2335216e-01 1.1692806e-01 1.1774426e-02 2.2645378e-01
  3.7745766e-03 4.7960148e-05]]"
1656,ddlovato,Woooo I’m now in @Shazam! Follow me and see what I’ve been Shazaming 😎 http://t.co/tvf2M2GgY9 http://t.co/9MfROxS0Nz,woooo i’m shazam follow see i’ve shazaming 😎 httptcotvf2m2ggy9 httptco9mfroxs0nz,"[[0.08652467 0.09643488 0.07657377 0.16809452 0.12084858 0.03573537
  0.41578826]]"
1657,jtimberlake,"Thanks, boys!! 🙏‼️ https://t.co/YZz4WGXT85",thanks boys 🙏‼️ httpstcoyzz4wgxt85,"[[0.02123905 0.02696973 0.07296298 0.71405184 0.10235743 0.04972348
  0.01269546]]"
1658,YouTube,"Take it off, meow! https://t.co/ONtPcbDacC https://t.co/34RtF9TW8T",take meow httpstcoontpcbdacc httpstco34f9tw8t,"[[2.6195297e-01 2.8158072e-01 1.3715966e-01 2.7981840e-02 2.8591236e-01
  5.3527481e-03 5.9647184e-05]]"
1659,selenagomez,Show me your lyric photos for #LoveYouLikeALoveSong and you could be in my official lyric video on Vevo!  http://t.co/UUXXSyl,show lyric photos loveyoulikealovesong could official lyric video vevo httptcouuxxsyl,"[[0.00271214 0.00333471 0.00442523 0.01863569 0.0061844  0.00189359
  0.9628143 ]]"
1660,YouTube,Happy #SharkWeek. Have some cake! https://t.co/OGVhzTlR72 https://t.co/m1QdNOG6Zk,happy sharkweek cake httpstcoogvhztlr72 httpstcom1qdnog6zk,"[[0.05108567 0.06266461 0.11467478 0.53652567 0.17061074 0.05395352
  0.01048503]]"
1661,jtimberlake,"""@bsp1128: @jtimberlake Sweet GTO, I was just driving next to you in the Valley."" Why, thank you kindly...",bsp1128 jtimberlake sweet gto driving next valley thank kindly,"[[0.0156356  0.01791263 0.01359935 0.0275633  0.02154867 0.00457246
  0.899168  ]]"
1662,britneyspears,Thank you! Every little bit does count ❤️ https://t.co/ecmdCgFjpm,thank every little bit count ❤️ httpstcoecmdcgfjpm,"[[0.054212   0.06509082 0.11095223 0.52974916 0.16323781 0.06179823
  0.01495966]]"
1663,BarackObama,Give it your best shot—enter today for your chance to meet the President: http://t.co/jXBu09fx7F http://t.co/VRgaDL2FQu,give best shot—enter today chance meet president httptcojxbu09fx7f httptcovrgadl2fqu,"[[0.27089164 0.28615826 0.13126755 0.04139336 0.25805902 0.01181499
  0.00041513]]"
1664,Cristiano,Hi everyone. Here are a few photos from a new commercial I am filming. I will post more soon.... http://say.ly/AHM3sB,hi everyone photos new commercial filming post soon httpsaylyahm3sb,"[[3.6344913e-04 5.0705351e-04 2.1184187e-03 3.9545957e-02 2.2724520e-03
  1.7581697e-03 9.5343447e-01]]"
